date,primary_type,district,arrest,year
2017-10-22 08:00:00+00:00,THEFT,11,False,2017
2018-07-11 20:30:00+00:00,BATTERY,11,False,2018
2008-10-25 01:05:00+00:00,ASSAULT,11,True,2008
2010-03-03 22:30:00+00:00,THEFT,11,False,2010
2014-04-19 09:00:00+00:00,ASSAULT,12,False,2014
2006-09-10 02:30:00+00:00,THEFT,12,False,2006
2022-04-13 02:02:00+00:00,THEFT,14,False,2022
2003-03-11 17:45:00+00:00,THEFT,14,False,2003
2018-04-20 14:30:00+00:00,BATTERY,15,False,2018
2012-10-16 07:45:00+00:00,MOTOR VEHICLE THEFT,15,False,2012
2005-12-27 23:30:00+00:00,CRIMINAL TRESPASS,16,False,2005
2018-10-22 19:30:00+00:00,THEFT,17,False,2018
2017-12-29 05:00:00+00:00,ROBBERY,17,False,2017
2022-03-08 16:50:00+00:00,THEFT,17,False,2022
2013-01-22 15:00:00+00:00,DECEPTIVE PRACTICE,18,True,2013
2012-04-13 08:25:00+00:00,BATTERY,18,True,2012
2023-11-28 21:45:00+00:00,THEFT,18,False,2023
2012-06-25 09:00:00+00:00,THEFT,18,False,2012
2005-07-31 12:30:00+00:00,THEFT,18,False,2005
2004-02-13 08:00:00+00:00,BATTERY,19,False,2004
2015-05-22 01:58:00+00:00,CRIMINAL TRESPASS,19,False,2015
2010-10-05 12:00:00+00:00,THEFT,19,False,2010
2011-03-17 05:14:00+00:00,BURGLARY,20,False,2011
2008-07-13 19:30:00+00:00,THEFT,20,False,2008
2007-07-28 19:13:00+00:00,CRIMINAL DAMAGE,20,False,2007
2006-02-25 04:00:00+00:00,BATTERY,22,False,2006
2009-07-30 22:00:00+00:00,THEFT,24,False,2009
2017-08-06 22:46:00+00:00,ROBBERY,25,False,2017
2021-11-14 10:30:00+00:00,CRIMINAL DAMAGE,25,False,2021
2004-07-29 20:10:00+00:00,NARCOTICS,25,True,2004
2018-09-10 07:45:00+00:00,OTHER OFFENSE,25,True,2018
2015-09-18 21:30:00+00:00,CRIMINAL TRESPASS,1,True,2015
2009-12-09 10:25:00+00:00,THEFT,1,True,2009
2001-08-19 20:17:38+00:00,ROBBERY,2,False,2001
2014-02-13 07:40:00+00:00,THEFT,2,True,2014
2001-04-28 16:17:10+00:00,BATTERY,3,False,2001
2006-09-05 11:00:00+00:00,BURGLARY,3,False,2006
2021-12-01 10:00:00+00:00,THEFT,3,False,2021
2013-10-20 16:50:00+00:00,CRIMINAL DAMAGE,3,False,2013
2008-12-28 12:00:00+00:00,OTHER OFFENSE,3,False,2008
2003-06-22 10:00:00+00:00,BURGLARY,4,False,2003
2001-11-05 20:48:45+00:00,ROBBERY,4,False,2001
2006-01-01 01:27:45+00:00,NARCOTICS,4,True,2006
2019-10-29 11:07:00+00:00,THEFT,4,False,2019
2008-12-24 18:40:00+00:00,THEFT,4,False,2008
2010-08-02 01:00:00+00:00,OTHER OFFENSE,4,False,2010
2023-04-26 21:28:00+00:00,BATTERY,4,True,2023
2011-07-11 01:30:00+00:00,MOTOR VEHICLE THEFT,4,False,2011
2011-10-15 03:30:00+00:00,SEX OFFENSE,4,True,2011
2016-09-15 16:00:00+00:00,CRIMINAL DAMAGE,6,False,2016
2007-03-14 12:30:00+00:00,BURGLARY,7,False,2007
2009-10-16 14:00:00+00:00,BURGLARY,7,False,2009
2022-04-10 21:30:00+00:00,ASSAULT,7,False,2022
2007-08-18 13:25:00+00:00,THEFT,7,False,2007
2014-08-27 17:00:00+00:00,THEFT,7,False,2014
2004-09-21 21:42:00+00:00,ROBBERY,7,False,2004
2009-07-26 19:10:00+00:00,CRIMINAL TRESPASS,7,False,2009
2007-02-24 01:00:00+00:00,THEFT,8,False,2007
2003-12-21 11:57:00+00:00,CRIMINAL DAMAGE,8,False,2003
2015-05-09 23:45:00+00:00,CRIMINAL DAMAGE,8,False,2015
2004-06-07 07:40:00+00:00,OTHER OFFENSE,8,False,2004
2007-11-17 12:37:00+00:00,BATTERY,9,False,2007
2009-01-26 19:49:00+00:00,NARCOTICS,9,True,2009
